pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,traj_err
1,7,7,1,inc,0.2,low,1.2655173001870526
1,7,7,1,inc,0.8,high,0.6510420646422225
2,6,2,1,dec,0.8,high,0.705194160704965
2,6,2,1,dec,0.2,low,1.2340341838053774
3,6,1,2,inc,0.2,low,1.12221730651063
3,6,1,2,inc,0.8,high,0.39161151053381
4,6,6,3,dec,0.8,high,0.7222605400011625
4,6,6,3,dec,0.2,low,1.465633598548435
5,7,1,1,inc,0.2,low,1.4098953777570076
5,7,1,1,inc,0.8,high,0.6564518038465975
6,5,6,2,dec,0.8,high,0.7692677100088925
6,5,6,2,dec,0.2,low,1.7932124027995076
7,6,1,1,inc,0.2,low,1.9340785834427623
7,6,1,1,inc,0.8,high,0.583013165209145
8,6,2,2,dec,0.8,high,0.816565406238365
8,6,2,2,dec,0.2,low,2.1496845443127577
9,6,2,4,inc,0.2,low,2.099357161964935
9,6,2,4,inc,0.8,high,0.5565549401284525
10,3,4,1,dec,0.8,high,0.5946340437056
10,3,4,1,dec,0.2,low,2.254189439597272
11,5,6,3,inc,0.2,low,1.7016509207017922
11,5,6,3,inc,0.8,high,0.4782180589872999
12,6,7,5,dec,0.8,high,0.71637355969593
12,6,7,5,dec,0.2,low,2.5833330926244646
13,7,7,2,inc,0.2,low,1.9069058435871495
13,7,7,2,inc,0.8,high,0.4212614548785225
14,6,6,2,dec,0.8,high,0.790634153975615
14,6,6,2,dec,0.2,low,2.401888764264357
15,6,5,4,inc,0.2,low,1.070211145814615
15,6,5,4,inc,0.8,high,0.4609685760957626
16,5,1,1,dec,0.8,high,0.9749814376964274
16,5,1,1,dec,0.2,low,1.6291009625559298
17,5,5,1,inc,0.2,low,1.7954490024798124
17,5,5,1,inc,0.8,high,0.464244924906595
18,3,6,1,dec,0.8,high,0.4638727983067149
18,3,6,1,dec,0.2,low,2.9019970581437176
19,6,7,5,inc,0.2,low,1.61746345663835
19,6,7,5,inc,0.8,high,0.5984503445174449
20,6,1,2,dec,0.8,high,0.6176778883030375
20,6,1,2,dec,0.2,low,2.5534211134998004
21,7,6,1,inc,0.2,low,2.35155028151429
21,7,6,1,inc,0.8,high,0.57129974802053
22,5,1,1,dec,0.8,high,0.7149681809963375
22,5,1,1,dec,0.2,low,1.1833308713676225
23,5,5,4,inc,0.2,low,1.8750728527858505
23,5,5,4,inc,0.8,high,0.7318519737903749
24,6,1,3,dec,0.8,high,1.0312434930508974
24,6,1,3,dec,0.2,low,2.84583041339336
